日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:52:59,1709103179,393138028.037333,间隔于 1 & 2,0
2024-02-28 14:53:00,1709103180,393138029.037333,间隔于 1 & 2,0
2024-02-28 14:53:01,1709103181,393138030.037333,间隔于 1 & 2,0
2024-02-28 14:53:02,1709103182,393138031.037333,间隔于 1 & 2,0
2024-02-28 14:53:03,1709103183,393138032.037333,间隔于 1 & 2,0
2024-02-28 14:53:04,1709103184,393138033.037333,间隔于 1 & 2,0
2024-02-28 14:53:05,1709103185,393138034.037333,间隔于 1 & 2,0
2024-02-28 14:53:06,1709103186,393138035.037333,间隔于 1 & 2,0
2024-02-28 14:53:07,1709103187,393138036.037333,间隔于 1 & 2,0
2024-02-28 14:53:08,1709103188,393138037.037333,间隔于 1 & 2,0
2024-02-28 14:53:09,1709103189,393138038.037333,间隔于 1 & 2,0
2024-02-28 14:53:10,1709103190,393138039.037333,间隔于 1 & 2,0
2024-02-28 14:53:11,1709103191,393138040.037333,间隔于 1 & 2,0
2024-02-28 14:53:12,1709103192,393138041.037333,间隔于 1 & 2,0
2024-02-28 14:53:13,1709103193,393138042.037333,间隔于 1 & 2,0
2024-02-28 14:53:14,1709103194,393138043.037333,间隔于 1 & 2,0
2024-02-28 14:53:15,1709103195,393138044.037333,间隔于 1 & 2,0
2024-02-28 14:53:16,1709103196,393138045.037333,间隔于 1 & 2,0
2024-02-28 14:53:17,1709103197,393138046.037333,间隔于 1 & 2,0
2024-02-28 14:53:18,1709103198,393138047.037333,间隔于 1 & 2,0
2024-02-28 14:53:19,1709103199,393138048.037333,间隔于 1 & 2,0
2024-02-28 14:53:20,1709103200,393138049.037333,间隔于 1 & 2,0
2024-02-28 14:53:21,1709103201,393138050.037333,间隔于 1 & 2,0
2024-02-28 14:53:22,1709103202,393138051.037333,间隔于 1 & 2,0
2024-02-28 14:53:23,1709103203,393138052.037333,间隔于 1 & 2,0
2024-02-28 14:53:24,1709103204,393138053.037333,间隔于 1 & 2,0
2024-02-28 14:53:25,1709103205,393138054.037333,间隔于 1 & 2,0
2024-02-28 14:53:26,1709103206,393138055.037333,间隔于 1 & 2,0
2024-02-28 14:53:27,1709103207,393138056.037333,间隔于 1 & 2,0
2024-02-28 14:53:28,1709103208,393138057.037333,间隔于 1 & 2,0
2024-02-28 14:53:29,1709103209,393138058.037333,间隔于 1 & 2,0
2024-02-28 14:53:30,1709103210,393138059.037333,间隔于 1 & 2,0
2024-02-28 14:53:31,1709103211,393138060.037333,间隔于 1 & 2,0
2024-02-28 14:53:32,1709103212,393138061.037333,间隔于 1 & 2,0
2024-02-28 14:53:33,1709103213,393138062.037333,间隔于 1 & 2,0
2024-02-28 14:53:34,1709103214,393138063.037333,间隔于 1 & 2,0
2024-02-28 14:53:35,1709103215,393138064.037333,间隔于 1 & 2,0
2024-02-28 14:53:36,1709103216,393138065.037333,间隔于 1 & 2,0
2024-02-28 14:53:37,1709103217,393138066.037333,间隔于 1 & 2,0
2024-02-28 14:53:38,1709103218,393138067.037333,间隔于 1 & 2,0
